屋 ỐC
働 ĐỘNG
佐 TÁ
宅 TRẠCH
票 PHIẾU
伝 TRUYỀN
福 PHÚC
早 TẢO
審 THẨM
境 CẢNH
況 HUỐNG
仕 SĨ
条 ĐIỀU
乗 THỪA
想 TƯỞNG
渡 ĐỘ
字 TỰ
造 TẠO
味 VỊ
念 NIỆM
負 PHỤ
親 THÂN
述 THUẬT
差 SAI
族 TỘC
追 TRUY
験 NGHIỆM
個 CÁ
若 NHƯỢC
訴 TỐ
低 ĐÊ
量 LƯỢNG
然 NHIÊN
独 ĐỘC
供 CUNG
細 TẾ
授 THỤ
医 Y
衛 VỆ
器 KHÍ
音 ÂM
花 HOA
頭 ĐẦU
整 CHỈNH
財 TÀI
門 MÔN
値 TRỊ
退 THOÁI
守 THỦ
古 CỔ
太 THÁI
姿 TƯ
答 ĐÁP
末 MẠT
隊 ĐỘI
紙 CHỈ
注 CHÚ
株 CHU
望 VỌNG
含 HÀM
種 CHỦNG
返 PHẢN
洋 DƯƠNG
失 THẤT
評 BÌNH
様 DẠNG
好 HẢO
影 ẢNH
命 MỆNH
型 HÌNH
室 THẤT
路 LỘ
良 LƯƠNG
復 PHỤC
課 KHÓA
程 TRÌNH
環 HOÀN
閣 CÁC
港 CẢNG
科 KHOA
響 HƯỞNG
訪 PHÓNG
憲 HIẾN
史 SỬ
戸 HỘ
秒 MIỂU
風 PHONG
極 CỰC
去 KHỨ
欧 ÂU
段 ĐOẠN
管 QUẢN
天 THIÊN
非 PHI
買 MÃI
賞 THƯỞNG
辺 BIÊN
競 CẠNH
振 CHẤN
察 SÁT
観 QUAN
推 THÔI
易 DỊ
移 DI
専 CHUYÊN
衆 CHÚNG
申 THÂN
浜 BANH
深 THÂM
離 LI
督 ĐỐC
白 BẠCH
帰 QUY
撃 KÍCH
橋 KIỀU
歩 BỘ
材 TÀI
識 THỨC
雄 HÙNG
達 ĐẠT
録 LỤC
討 THẢO
春 XUÂN
鮮 TIÊN
赤 XÍCH
効 HIỆU
被 BỊ
呼 HÔ
悪 ÁC
右 HỮU
根 CĂN
光 QUANG
他 THA
渉 THIỆP
融 DUNG
針 CHÂM
満 MÃN
兵 BINH
修 TU
処 XỬ
捕 BỘ
積 TÍCH
河 HÀ
丸 HOÀN
編 BIÊN
師 SƯ
歌 CA
森 SÂM
鉄 THIẾT
並 TỊNH
愛 ÁI
青 THANH
責 TRÁCH
単 ĐƠN
客 KHÁCH
秋 THU
園 VIÊN
献 HIẾN
林 LÂM
蔵 TÀNG
模 MÔ
系 HỆ
券 KHOÁN
清 THANH
婦 PHỤ
夜 DẠ
核 HẠCH
富 PHÚ
接 TIẾP
城 THÀNH
販 PHÁN
請 THỈNH
久 CỬU
登 ĐĂNG
図 ĐỒ
読 ĐỘC
益 ÍCH
黒 HẮC
介 GIỚI
貿 MẬU
脳 NÃO
候 HẬU
存 TỒN
号 HIỆU
吉 CÁT
除 TRỪ
旧 CỰU
超 SIÊU
健 KIỆN
障 CHƯỚNG
左 TẢ
母 MẪU
険 HIỂM
激 KÍCH
摘 TRÍCH
央 ƯƠNG
批 PHÊ
座 TỌA
弁 BIỆN
催 THÔI
児 NHI
江 GIANG
給 CẤP
具 CỤ
殺 SÁT
飛 PHI
速 TỐC
